Timestamp,A0_Raw,A1_Raw,A2_Raw,Motor_State
2026-08-23 07:39:34.325574,6397,4040,3314,0
2026-08-23 07:39:34.325593,6526,4440,3771,0
2026-08-23 07:39:34.325613,6562,4688,3780,0
2026-08-23 07:39:34.325634,6548,4872,3778,0
2026-08-23 07:39:34.325654,6555,5036,3786,0
2026-08-23 07:39:34.325674,6385,4996,2459,0
2026-08-23 07:39:34.325694,6476,5163,3408,0
2026-08-23 07:39:34.325714,6534,5224,3421,0
2026-08-23 07:39:34.325734,6518,5298,3414,0
2026-08-23 07:39:34.325754,6531,5330,3409,0
2026-08-23 07:39:34.325773,6508,5339,3390,0
2026-08-23 07:39:34.325794,6528,5337,3401,0
2026-08-23 07:39:34.325814,6522,5381,3375,0
2026-08-23 07:39:34.325834,6520,5391,3419,0
2026-08-23 07:39:34.325854,6527,5395,3397,0
2026-08-23 07:39:34.325874,6531,5369,3393,0
2026-08-23 07:39:34.325894,6515,5369,3397,0
2026-08-23 07:39:34.325914,6521,5414,3387,0
2026-08-23 07:39:34.325933,6516,5400,3382,0
2026-08-23 07:39:34.325953,6510,5372,3381,0
2026-08-23 07:39:34.325974,6505,5415,3359,0
2026-08-23 07:39:34.325994,6503,5396,3342,0
2026-08-23 07:39:34.326014,6504,5407,3324,0
2026-08-23 07:39:34.326034,6499,5393,3252,0
2026-08-23 07:39:34.326054,6487,5362,3210,0
2026-08-23 07:39:34.326074,6492,5399,3126,0
2026-08-23 07:39:34.326094,6478,5361,3053,0
2026-08-23 07:39:34.326113,6479,5395,3082,0
2026-08-23 07:39:34.326133,6474,5402,3211,0
2026-08-23 07:39:34.326154,6374,5296,2336,0
2026-08-23 07:39:34.326174,6463,5395,3452,0
2026-08-23 07:39:34.326194,6524,5407,3384,0
2026-08-23 07:39:34.326214,6485,5398,3215,0
2026-08-23 07:39:34.326234,6492,5371,3288,0
2026-08-23 07:39:34.326254,6512,5412,3518,0
2026-08-23 07:39:34.326274,6407,5328,3135,0
2026-08-23 07:39:34.326293,6464,5335,2956,0
2026-08-23 07:39:34.326313,6442,5329,2843,0
2026-08-23 07:39:34.326334,6430,5364,2899,0
2026-08-23 07:39:34.326354,6464,5382,3235,0
2026-08-23 07:39:34.326374,6363,5330,3170,0
2026-08-23 07:39:34.326394,6444,5328,3158,0
2026-08-23 07:39:34.326414,6486,5341,3100,0
2026-08-23 07:39:34.326434,6472,5415,3430,0
2026-08-23 07:39:34.326454,6360,5297,2887,0
2026-08-23 07:39:34.326473,6385,5325,2745,0
2026-08-23 07:39:34.326494,6461,5308,2748,0
2026-08-23 07:39:34.326514,6432,5409,1129,0
2026-08-23 07:39:34.326534,6388,5321,3181,0
2026-08-23 07:39:34.326554,6462,5317,2972,0
2026-08-23 07:39:34.326574,6472,5376,3181,0
2026-08-23 07:39:34.326594,6341,5326,2737,0
2026-08-23 07:39:34.326614,6410,5331,2726,0
2026-08-23 07:39:34.326634,6460,5338,2680,0
2026-08-23 07:39:34.326653,6388,5359,3242,0
2026-08-23 07:39:34.326674,6378,5343,2999,0
2026-08-23 07:39:34.326694,6394,5321,2901,0
2026-08-23 07:39:34.326714,6447,5369,3359,0
2026-08-23 07:39:34.326734,6315,5313,2742,0
2026-08-23 07:39:34.326754,6361,5303,2581,0
2026-08-23 07:39:34.326774,6454,5313,2909,0
2026-08-23 07:39:34.326794,6330,5331,2895,0
2026-08-23 07:39:34.326813,6472,5345,2850,0
2026-08-23 07:39:34.326833,6473,5368,3147,0
2026-08-23 07:39:34.326854,6314,5283,2743,0
2026-08-23 07:39:34.326874,6413,5329,2531,0
2026-08-23 07:39:34.326894,6453,5325,2826,0
2026-08-23 07:39:34.326914,6295,5265,2322,0
2026-08-23 07:39:34.326934,6431,5323,2826,0
2026-08-23 07:39:34.326954,6492,5385,3160,0
2026-08-23 07:39:34.326974,6277,5302,2480,0
2026-08-23 07:39:34.326993,6391,5323,2488,0
2026-08-23 07:39:34.327013,6432,5321,2960,0
2026-08-23 07:39:34.327034,6318,5288,2912,0
2026-08-23 07:39:34.327054,6425,5333,2833,0
2026-08-23 07:39:34.327074,6449,5343,3491,0
2026-08-23 07:39:34.327094,6346,5322,2632,0
2026-08-23 07:39:34.327114,6416,5291,2520,0
2026-08-23 07:39:34.327134,6277,5043,0,0
2026-08-23 07:39:34.327154,6315,5238,2779,0
2026-08-23 07:39:34.327173,6338,5275,2922,0
2026-08-23 07:39:34.327193,6265,5194,1299,0
2026-08-23 07:39:34.327214,6380,5295,2448,0
2026-08-23 07:39:34.327234,6369,5288,2840,0
2026-08-23 07:39:34.327254,6395,5289,2808,0
2026-08-23 07:39:34.327274,6430,5306,2769,0
2026-08-23 07:39:34.327294,6448,5357,3432,0
2026-08-23 07:39:34.327314,6329,5315,2535,0
2026-08-23 07:39:34.327334,6272,5304,2538,0
2026-08-23 07:39:34.327353,6262,5055,0,0
2026-08-23 07:39:34.327374,6272,5291,2733,0
2026-08-23 07:39:34.327394,6409,5324,3003,0
2026-08-23 07:39:34.327414,6244,5180,1808,0
2026-08-23 07:39:34.327434,6313,5291,2429,0
2026-08-23 07:39:34.327454,6437,5345,3014,0
2026-08-23 07:39:34.327474,6371,5290,2859,0
2026-08-23 07:39:34.327494,6534,5309,2806,0
2026-08-23 07:39:34.327513,6164,5076,0,0
2026-08-23 07:39:34.327533,6342,5262,2480,0
2026-08-23 07:39:34.327554,6403,5290,2682,0
2026-08-23 07:39:34.327574,6260,5180,1591,0
2026-08-23 07:39:34.327594,6385,5287,2713,0
2026-08-23 07:39:34.327614,6447,5348,3292,0
2026-08-23 07:39:34.327634,6236,5270,2390,0
2026-08-23 07:39:34.327654,6360,5305,2479,0
2026-08-23 07:39:34.327674,6299,5178,1066,0
2026-08-23 07:39:34.327693,6378,5345,2772,0
2026-08-23 07:39:34.327713,6481,5337,3006,0
2026-08-23 07:39:34.327734,6316,5265,2206,0
2026-08-23 07:39:34.327754,6378,5320,2418,0
2026-08-23 07:39:34.327774,6413,5327,3088,0
2026-08-23 07:39:34.327794,6292,5299,2658,0
2026-08-23 07:39:34.327814,6362,5282,2808,0
2026-08-23 07:39:34.327834,6223,5093,158,0
2026-08-23 07:39:34.327854,6287,5267,2399,0
2026-08-23 07:39:34.327873,6329,5321,2839,0
2026-08-23 07:39:34.327893,6411,5297,2783,0
2026-08-23 07:39:34.327914,6417,5334,2744,0
2026-08-23 07:39:34.327934,6251,5065,0,0
2026-08-23 07:39:34.327954,6312,5278,2437,0
2026-08-23 07:39:34.327974,6375,5304,2695,0
2026-08-23 07:39:34.327994,6274,5228,2020,0
2026-08-23 07:39:34.328014,6388,5329,2700,0
2026-08-23 07:39:34.328034,6465,5335,3477,0
2026-08-23 07:39:34.328053,6289,5292,2398,0
2026-08-23 07:39:34.328074,6287,5287,2598,0
2026-08-23 07:39:34.328094,6404,5263,2419,0
2026-08-23 07:39:34.328114,6400,5290,2720,0
2026-08-23 07:39:34.328134,6498,5348,3359,0
2026-08-23 07:39:34.328154,6336,5295,2460,0
2026-08-23 07:39:34.328174,6274,5283,2523,0
2026-08-23 07:39:34.328194,6272,5138,734,0
2026-08-23 07:39:34.328214,6308,5314,2665,0
2026-08-23 07:39:34.328233,6400,5303,3241,0
2026-08-23 07:39:34.328254,6297,5260,2355,0
2026-08-23 07:39:34.328274,6270,5270,2465,0
2026-08-23 07:39:34.328294,6360,5224,1735,0
2026-08-23 07:39:34.328314,6315,5277,2702,0
2026-08-23 07:39:34.328334,6499,5333,3153,0
2026-08-23 07:39:34.328354,6253,5301,2456,0
2026-08-23 07:39:34.328374,6315,5301,2448,0
2026-08-23 07:39:34.328393,6104,5001,0,0
2026-08-23 07:39:34.328413,6317,5308,2663,0
2026-08-23 07:39:34.328434,6377,5331,3081,0
2026-08-23 07:39:34.328454,6267,5245,2219,0
2026-08-23 07:39:34.328474,6332,5271,2418,0
2026-08-23 07:39:34.328494,6253,5105,628,0
2026-08-23 07:39:34.328514,6362,5317,2719,0
2026-08-23 07:39:34.328534,6480,5353,2998,0
2026-08-23 07:39:34.328554,6333,5292,2333,0
2026-08-23 07:39:34.328573,6321,5280,2409,0
2026-08-23 07:39:34.328593,6364,5347,3279,0
2026-08-23 07:39:34.328614,6380,5280,2649,0
2026-08-23 07:39:34.328634,6363,5277,2953,0
2026-08-23 07:39:34.328654,6228,5208,1937,0
2026-08-23 07:39:34.328674,6321,5245,2382,0
2026-08-23 07:39:34.328694,6158,5028,0,0
2026-08-23 07:39:34.328714,6386,5276,2755,0
2026-08-23 07:39:34.328734,6442,5334,2894,0
2026-08-23 07:39:34.328753,6255,5282,2000,0
2026-08-23 07:39:34.328773,6346,5258,2394,0
2026-08-23 07:39:34.328794,6373,5317,3046,0
2026-08-23 07:39:34.328814,6256,5272,2614,0
2026-08-23 07:39:34.328834,6315,5291,2815,0
2026-08-23 07:39:34.328854,6271,5136,855,0
2026-08-23 07:39:34.328874,6264,5244,2376,0
2026-08-23 07:39:34.328894,6373,5282,2955,0
2026-08-23 07:39:34.328914,6413,5301,2787,0
2026-08-23 07:39:34.328933,6358,5297,2787,0
2026-08-23 07:39:34.328954,6252,5196,686,0
2026-08-23 07:39:34.328974,6331,5296,2399,0
2026-08-23 07:39:34.328994,6351,5308,2832,0
2026-08-23 07:39:34.329014,6226,5273,2402,0
2026-08-23 07:39:34.329034,6358,5272,2723,0
2026-08-23 07:39:34.329054,6168,4933,0,0
2026-08-23 07:39:34.329074,6318,5206,2394,0
2026-08-23 07:39:34.329093,6304,5204,2755,0
2026-08-23 07:39:34.329113,6305,5246,2709,0
2026-08-23 07:39:34.329134,6314,5234,2707,0
2026-08-23 07:39:34.329154,6274,4964,0,0
2026-08-23 07:39:34.329174,6270,5170,2449,0
2026-08-23 07:39:34.329194,6354,5232,2647,0
