group_id,label,severity,audio_ch1_band00,audio_ch1_band01,audio_ch1_band02,audio_ch1_band03,audio_ch1_band04,audio_ch1_band05,audio_ch1_band06,audio_ch1_band07,audio_ch1_band08,audio_ch1_band09,audio_ch1_band10,audio_ch1_band11,audio_ch1_band12,audio_ch1_band13,audio_ch1_band14,audio_ch1_band15,audio_ch1_band16,audio_ch1_band17,audio_ch1_band18,audio_ch1_band19
Audio_healthy_motor50_base,healthy,motor_50,71759156.78121921,23712864.622131985,19245074.624515075,12548908.501668466,27517404.631523903,33987229.78847264,26891996.99147307,31072620.701227505,23166227.762891825,28160863.456168767,25873948.63857788,17537490.635144714,10949151.515931163,19413739.900752947,9389424.643958006,16172711.565183055,59736437.24688774,87430727.06395541,52965178.0318883,42504992.12585116
Audio_healthy_motor50_base,healthy,motor_50,34505936.59266486,7491940.847677224,4133700.2094766637,3312225.7306081518,10673343.395998154,14728706.14469495,13680647.229285728,19921908.466564614,16283233.986310946,14029041.788911358,12442214.437380295,9700112.343846435,6133739.864962796,7575374.826608354,8486517.191737639,6347642.842953482,7326597.611856079,11504637.801791187,6889193.132831033,7290420.492667051
Audio_healthy_motor50_base,healthy,motor_50,757237734.4906576,1663470872.18441,991739093.2044661,3154590630.509758,27174224539.469196,5994235014.877009,3928758999.5654397,4525895022.571627,4605987927.4545145,1318474001.7466726,4583429077.229796,2404100148.2380824,2394799635.205354,1861779223.197953,437279613.0188898,681303299.077561,384364548.91645086,3405634891.0138144,1704034484.489805,430039265.15907323
Audio_healthy_motor50_base,healthy,motor_50,556870328.8042357,329066495.8030313,411646603.908315,241657318.0779255,1418389851.418678,498686176.61155224,850575462.0277506,1574129608.7272255,481380259.9330479,532409321.76912034,525343669.28787446,388662891.28806466,548590267.7967137,227361116.60589936,112914579.43327034,106662243.43317808,136253335.96662974,237325462.026406,166216475.967202,107002320.41290417
Audio_healthy_motor50_base,healthy,motor_50,148963143.66307113,123860151.48051243,31869513.897143126,44277758.92497411,130361770.99640018,109706208.94081193,143712562.51271996,220411547.63130248,216937809.70375547,148470002.121394,91560428.6441481,51350480.218542315,65370440.523131296,46858292.99367661,57513277.55936698,40258995.04065755,27092966.185151055,42694192.81476874,49153588.64320271,41203705.52177094
Audio_healthy_motor50_base,healthy,motor_50,583383314.7815673,155419609.33951542,523606521.24848723,204912281.28519788,1876038779.7891088,1282341371.6867652,8845256489.21595,1268473493.876462,9845173667.876272,1388089132.94845,248362776.36363962,249675976.4532348,315348463.1765839,125107579.84263006,595089454.8407565,2184882093.3062267,308886352.4151629,744424195.4076421,634826446.3363438,106636274179.68964
Audio_healthy_motor50_base,healthy,motor_50,194477149.60884002,69488464.93052493,171102847.58141398,87583648.45907044,253288777.63542518,209626538.84329692,926076221.0970372,404281327.1899029,1876480952.5074391,476296407.8993689,271823231.23371667,234757450.55817944,232242581.2520966,194612879.6606548,449318682.05975205,159135675.41706824,144321485.50242984,364497998.2150812,431498515.6482512,1020822099.9273953
Audio_healthy_motor50_base,healthy,motor_50,177852508.86255646,86385026.5803335,37381176.13925756,39249909.36444677,74539253.94518064,289436988.3586593,555109998.6535808,532138451.2340904,592202551.7257977,326270926.9934982,234243658.32158327,303935568.818739,289557541.2774518,148949264.94714525,201358236.5931997,103550587.80278835,148908068.01120067,181318647.81666538,226621697.29360172,358450009.6559365
Audio_healthy_motor50_base,healthy,motor_50,112603114.53317347,39989982.84356215,18970153.169088382,23831897.677793145,55267700.68874183,54626737.310192004,100215115.06672144,120975811.03235236,190406842.88531145,152647826.64800265,144227751.3971433,89742593.4889537,105585858.92729175,135682586.4125146,289869249.98944396,95313444.28811835,123530993.89814661,788245394.9059048,370278537.1638502,1212796305.83965
Audio_healthy_motor50_base,healthy,motor_50,284497614.86897725,125468408.28331381,60460112.83010056,102815083.37671301,100436030.51942395,250956210.62408763,297672901.39621353,387807012.7806425,504483085.77864397,304123830.13821405,208833893.31029326,229308555.86070943,418456677.5345399,395865158.44309896,460506652.7313065,297907202.6138612,286400679.0634774,719445410.3097944,583661293.7895514,926393650.374377
Audio_healthy_motor50_base,healthy,motor_50,191743614.50987253,96105593.92661986,36058642.968900055,38726183.30710238,109461946.18530934,234215028.29623887,311781416.23786706,192506048.66130883,196767549.9875454,149790714.63653883,118241676.42304401,133186471.08233061,215894836.28619638,175131617.4219761,190817827.79683176,178858790.7256742,147292549.49046084,152060134.6715267,175150413.13614395,152543328.18220082
Audio_healthy_motor50_base,healthy,motor_50,146862773.75697052,36536454.711505145,22941922.16310596,20776313.446792502,23979467.567718834,47543562.68713526,76579197.35489194,106914460.55292857,250105722.61570764,208213855.982307,129937153.34346636,85870811.75455764,134843003.58714923,150914264.5563347,143970735.44254074,127515224.23561114,103191027.65617009,182149767.42557815,208287371.59455785,341425925.1767906
Audio_healthy_motor50_base,healthy,motor_50,58447641.41551495,24866051.75344229,20019860.541762736,20682957.48789647,31604949.654420417,36932828.963662975,57757134.272656746,124117345.40349409,165375518.94988683,192068023.62092423,83124810.25384356,45795564.27202343,78055969.95519216,80330277.21741675,62138736.80720475,75826488.48356177,119043858.113732,79181989.2450294,289764440.1927555,117586430.66398495
Audio_healthy_motor50_base,healthy,motor_50,68334454.80682926,18268316.469460532,12421156.94595734,8742157.95759901,18727729.66231044,23461341.563095797,52963240.98181747,68567545.61910151,130656214.21554142,99017565.92517984,50354116.83127011,42531640.22466451,24069194.70595271,22164938.823895093,36494061.6348061,27813237.835579127,48641976.4903217,129689313.48500946,50158533.349014744,112946109.21327892
Audio_healthy_motor50_base,healthy,motor_50,58735704.15713019,16335221.833423695,19590309.242274154,20229494.485941797,64128403.43566016,95877153.90591906,81516735.55687943,134779441.6377533,456658910.21451235,205624012.28061303,99102413.33532345,90363780.11172873,145468549.08450365,232013738.08691967,92394339.7352511,106970981.01533781,143125143.1658916,94561050.88151892,157328190.7585295,313805855.99374586
Audio_healthy_motor50_base,healthy,motor_50,144225856.7905604,49014334.26578186,31413893.86605266,26026118.711555403,26200328.52648101,52971942.570345454,189270003.9765886,194401535.9107327,169455904.51589316,209663376.13164508,65815787.59844009,91561551.6844912,109244039.0959446,146368344.42116925,89653768.13926724,101820081.92514403,101089673.15657572,121956607.90633829,105019003.61781764,222590788.67029178
Audio_healthy_motor50_base,healthy,motor_50,398964396.2128466,138680226.62517086,91072851.26861551,45270831.195498794,78782577.98918076,102841876.23133793,332541109.97769487,631690121.873695,621071342.1466004,783596315.5033814,286985969.88728803,539914074.9324389,478291983.81602633,398918630.2282384,283966698.0415247,270455855.3928957,201005409.7622629,186998554.43476015,313588146.6631231,171230702.10233226
Audio_healthy_motor50_base,healthy,motor_50,173152370.667931,119685202.46304025,52640982.572022215,79733444.71584308,80345148.90008754,105228295.26120481,451038656.62370616,622715452.6662941,707958319.6635664,571604890.4574231,189096282.56759506,228797639.64611822,334177695.67232853,220332973.7906676,127657198.12651707,147874513.72707695,121331332.65746532,162989891.80870408,119318707.0671846,173596220.10845718
Audio_healthy_motor50_base,healthy,motor_50,685649439.3287982,693118902.691448,318446206.9933486,181534103.393545,217343262.43262285,485668849.7016206,1868256136.955643,1422751783.1256537,1418500048.3549328,1386114708.1674607,678639015.8529857,734331431.3631079,878996789.6819313,1216332401.4271004,1280078237.111709,891486062.9745642,331156567.8169826,568299221.1061298,658550993.7142493,1336155222.5895715
Audio_healthy_motor50_base,healthy,motor_50,1160182912.2874207,554402437.3413769,384678873.14047736,579448130.116167,363514002.3743019,653235388.0339608,2167585764.6417623,1473611272.3512552,2249239280.992052,2307050803.793312,1214406953.7607923,1499335449.7834399,1406169960.0175493,1823555100.037175,3788708569.483194,1693252677.1453407,712268256.163667,1667399343.6113381,1985923797.3840475,1615220686.3229322
Audio_healthy_motor50_base,healthy,motor_50,887753006.8917305,300095941.24123245,224288392.23693168,277431910.25114876,307673613.0973454,446292983.4332459,1374457914.8028214,1218270557.7703805,1549644196.6207764,1631921882.2777548,603485583.0435519,738574685.239278,843535472.0203966,1143366220.1952753,893154698.8228611,842219183.9321458,575996371.5002453,531815928.38478905,614189308.5084007,841918464.4982088
Audio_healthy_motor50_base,healthy,motor_50,647057595.4410836,164364488.6916019,184243338.55901408,92731317.41316104,234343480.2322063,485246902.44153666,601424817.9609694,833812395.4902873,1034813533.7697004,866196226.1455233,418873250.77081823,508774067.6693428,590096273.0517106,641812280.5728923,555427061.0078437,400886796.8511436,356107105.0647737,317017839.27289927,752771261.3763142,418752290.9691652
Audio_healthy_motor50_base,healthy,motor_50,406379823.36359674,142610809.46164098,84991854.46301368,120793663.10998353,123972494.05833183,181604214.68533015,423185919.52324283,491848492.11441004,638167432.2372627,576270102.8736523,244594500.59460956,413763581.24957573,302817636.59203804,595667615.0947098,1060941034.3314342,574389818.0713638,736354664.0135823,1056816942.9934514,757082598.7716515,693974256.2989271
Audio_healthy_motor50_base,healthy,motor_50,609980581.1585976,263436720.97388005,134301987.59707886,120064433.2398198,278469935.0935725,477979066.6095348,561989764.8951731,828447918.5157918,810994454.561322,873023681.2236278,742078182.8059734,456409782.1972705,762877024.3305293,1292963067.1627376,929091538.0151695,1473977110.9767456,1454227856.140929,1779835736.2084937,1793947896.5847392,1587613435.6555688
Audio_healthy_motor50_base,healthy,motor_50,341258186.84019357,99248821.4732345,63618971.77705853,53989429.38082212,102549680.64193967,248122703.03097895,280552707.3205659,249762730.63489902,228956647.33978963,302731670.76965207,177761199.5955243,177295427.6075506,130331662.93021692,332590095.37198937,301340749.69775754,168687577.05296358,246988908.8478686,356931415.19895583,424333817.29579294,475071432.2853788
Audio_healthy_motor50_base,healthy,motor_50,520888609.384025,180159237.146876,91297202.95314732,51800134.4838792,149507814.8415088,183437116.46451467,209359172.63994977,336335045.3221175,244467235.96860653,332291495.6564868,214630673.8382757,405150480.6907088,397608145.59322244,355391290.29609364,236503676.5480629,202171699.0506097,213364190.7490718,332317351.5894573,422552736.55787957,292137983.71250844
Audio_healthy_motor50_base,healthy,motor_50,255076805.05415183,81668966.90481551,45597318.1604408,45232217.5834557,254766116.6654116,163197138.7142717,477243446.862307,468697192.6855166,379921646.7463966,296955487.1303113,205749271.4244096,175133316.83683476,135200250.44026232,186950705.83698335,222108764.00166753,126135620.0657582,155910731.86653468,161812642.61499667,249976929.31186703,325753154.74539673
Audio_healthy_motor50_base,healthy,motor_50,159720156.6446236,115178630.89715528,69598499.73338555,65445395.75403768,213955031.20148978,341520520.93894947,331224430.3193772,572118775.0546314,1347599709.3374197,1006295721.679749,354355492.161509,277542830.97018707,675479979.5054998,417580574.25387394,234348246.74111202,230284633.5888721,198981766.11062577,436999744.915241,457302266.70155686,825220421.4811826
Audio_healthy_motor50_base,healthy,motor_50,359407851.19160867,63871964.352580465,43570041.387966305,49965572.253417425,76276191.23793608,260706464.91208333,366302449.36466366,348355977.5683532,503845435.9985201,744012297.6131527,312589585.2311799,416908676.53378344,381402317.9026835,345450803.97712934,267728303.13553575,180039089.48295978,200094166.5544859,412881624.25040317,786638308.9107236,400589048.3081181
Audio_healthy_motor50_base,healthy,motor_50,324683790.5439342,132578331.77830748,51104258.29843072,68567853.58801833,119699856.43596797,133600196.61173837,285465196.4885371,219033221.2352632,424992967.1064318,589582937.8568534,387103350.9196664,257962832.80724487,189460443.194929,98268891.74602363,227077827.2174068,115796898.99215665,114702156.25050753,127008275.45979302,219287217.16577145,219329869.81618544
Audio_healthy_motor50_base,healthy,motor_50,187825859.31634894,51743391.04844478,35922144.73549812,43834575.16947704,119190424.78933382,121294722.73484366,176459783.83246318,452469919.66144466,639806962.3375651,242900134.5228561,196029346.31592175,192739773.50974506,102182279.62627748,76475655.74531797,139961015.34266394,89100868.33408564,98605758.42855175,116902031.07223512,206212318.6923236,138502733.6526351
Audio_healthy_motor50_base,healthy,motor_50,146360763.09246898,85748015.78772826,76514669.95107412,104518462.78496264,262733338.13612574,235290320.651212,287459158.9917442,352793147.20892316,576423309.3279201,387502183.5760245,658845265.2451138,411638011.7367212,500206932.20404476,325171608.3275354,370004203.9540604,262909009.06470296,451831066.42581016,354524296.7385791,463147040.8495694,418525077.493056
Audio_healthy_motor50_base,healthy,motor_50,192486239.1587947,106060357.44828734,36060709.190768465,63987017.28103063,138737275.87894222,260441629.74997884,569925982.6709113,978861192.8696243,1033880379.6588347,736067339.9117339,1318100185.9993176,915015063.5595796,973245799.9389966,476894469.1695626,1698407122.928506,712155335.186248,420018192.70381045,399724806.94936705,798677161.3789204,730652666.2790164
Audio_healthy_motor50_base,healthy,motor_50,128231646.14474349,67177604.87801592,14015003.641431069,48012822.06078444,77950073.06314734,135011751.37034383,205559576.14986107,547745919.6530144,615002526.1787407,723888807.6951169,504387787.4796015,512516965.2647119,825588666.2978783,367459909.4932085,415061135.6867046,304632149.96402055,188999741.08568916,209526964.80331028,318765477.89967877,182312746.54387626
Audio_healthy_motor50_base,healthy,motor_50,400047755.30327743,56844302.69434468,22589461.33928101,60379947.09337598,40219966.00996736,137730662.05168143,269843493.0855752,435330635.56818545,885426226.9622841,912589050.449035,513094087.77603835,541232751.9444755,342676526.9533376,275662237.905452,336707336.0758381,272399656.75801104,210844575.88608423,148815610.99615642,181351503.05302164,174745216.31946647
Audio_healthy_motor50_base,healthy,motor_50,35047319.49042613,9924002.366102975,5323791.555211451,12673356.629108546,14832294.833522726,20797046.189788982,57186384.50210938,82798056.08266166,134318597.83954924,213898966.81563655,321013652.4334047,300260705.08602846,92782115.70103411,122856997.4612283,184010333.09174943,94636067.0191365,73158662.08031142,62993069.29410205,72339701.23220493,56673961.02112969
Audio_healthy_motor50_base,healthy,motor_50,20348214.152164783,10531442.68254672,11037289.480194781,8685280.522267384,11167352.332994249,30837774.128427543,90292286.17499927,417254051.466316,418507692.90854573,191130586.16679096,276253470.9723109,119865300.902928,106196118.17620078,136383181.097393,179293772.51222605,177824586.47155547,139755876.57217994,275663832.3938961,382892496.1079819,249709233.69748944
Audio_healthy_motor50_base,healthy,motor_50,30386175.755769886,14741156.123339226,7378968.564065294,6884831.248383975,7718494.064046502,9420448.866645327,31579798.85274375,54602756.69556081,81291499.02220134,99754408.00734103,164127032.26032233,118572748.21308185,64198478.98211537,98780191.37096822,203368933.43006143,181237518.85907727,118404130.17012332,143930942.8195958,197065496.70979133,105330734.01989815
Audio_healthy_motor50_base,healthy,motor_50,74470476.79770161,41477790.202292375,20196362.881262757,14780114.882953135,14554134.957265195,62862142.49286342,70287243.31559199,629648011.5384731,281146082.8381246,132861503.30424082,148950553.54302433,93230021.68428354,104626750.88945813,386205493.7689379,172482914.10482603,262609537.90462968,601265119.3137047,808932142.1288339,590129168.1908836,82481299.43318334
Audio_healthy_motor50_base,healthy,motor_50,59762549.3829751,25199699.684043974,15842455.789065339,17892408.610518657,62612896.6071275,77789312.54309843,85203083.19185726,112673955.38231659,246325661.45343047,210795068.33975893,135208320.6790954,147667476.58121657,98702527.0395001,90371114.7762441,59520262.81532746,42418539.517651394,41394903.15331864,46223909.21012307,43396658.97021548,59324109.007365145
Audio_healthy_motor50_base,healthy,motor_50,143618930.42247826,107351544.14473502,52277267.985549524,20030029.323073115,26621923.25155689,86063584.58335568,121613855.63843162,134991250.4793555,246218461.7955728,201153015.46264037,484389875.7397874,393238901.0689743,230677429.5159437,198787965.00693235,112857866.65649047,91501379.76227263,122256516.49379316,77749934.41752908,137257898.32661,112258558.64351779
Audio_healthy_motor50_base,healthy,motor_50,324121890.8444169,106586041.53031176,68561261.99948072,115612326.35114025,162058822.02194244,128075391.45594391,332501271.83778745,379270233.89481026,480069871.085797,475922360.3363517,578499153.0552381,484893243.0932387,301977883.1742289,335663382.8761241,287058202.8685509,212863328.01376495,142110417.46750093,157297276.91690692,192876645.8365885,142068971.61797825
Audio_healthy_motor50_base,healthy,motor_50,175589477.19984382,70437494.04204577,39013972.12805679,81199049.28028584,48983894.51127387,77020121.45390153,172554929.64186475,294608356.09386885,285597407.63259876,235903492.0694098,386094751.57357794,203119116.01046953,142365623.85832945,133894853.71790151,103006273.23117332,83902963.65934534,84434053.47081083,94638868.80660202,130816043.14762102,102609959.75969598
Audio_healthy_motor50_base,healthy,motor_50,155995559.56758428,62893617.73211788,18488191.723454084,10893827.640859613,25234887.40825918,26081930.197408527,49434326.89276516,94703502.36153135,120236943.93979931,114388967.47991048,230766675.6551156,136995016.42017263,84267588.75118949,84120439.6248534,83823185.10555919,38224244.578095816,36787202.29660381,32296594.55274346,44410100.879142836,36091217.021281265
Audio_healthy_motor50_base,healthy,motor_50,86429283.73554626,62421565.35768785,44209924.30284257,50202722.06110716,44177207.43226663,52971802.781829566,70934598.83493882,170492714.32680735,163371124.816114,259694292.57397616,136099609.02966127,121644396.46346515,154239246.16338807,75052446.12341404,60204600.86396122,62120007.24419309,36254862.84184881,41126645.72504868,48198563.18941157,39951764.734794
Audio_healthy_motor50_base,healthy,motor_50,363028807.08807784,142568119.35769883,70228087.62266442,68756264.32875928,59001163.95015979,88858439.55491397,330052307.7268692,333655822.80018526,442498775.5017794,276488077.4784917,425311098.25308895,265329936.64682183,281316928.2442718,119127178.55125596,124838082.96988745,161003982.25375506,89313031.94314308,83933252.3743237,100635985.70256887,82498842.70375675
Audio_healthy_motor50_base,healthy,motor_50,250430124.86164555,101697981.90007327,62846561.011483006,51025601.22334492,48577315.038690336,70383194.63637988,146357867.12046295,240551146.43747813,220425730.4236743,235519949.34110805,180893695.59610385,106267647.6704482,153242604.328228,134445320.14873776,118401723.60823268,89043824.56765667,70256630.4439621,78162923.4491344,68319221.6043696,103738682.06043665
Audio_healthy_motor50_base,healthy,motor_50,204660498.39962175,78933788.97908781,65835677.45654043,51405133.14613409,65102947.475506485,69705833.95667195,309727417.28582156,231376961.68226704,400796088.7079779,209511420.46510145,200063440.5763252,160307498.56852543,142781320.12910372,91275468.22538325,90438525.08253206,87801829.26740399,60588152.33188117,55228367.690741956,62381547.504083805,124071390.19912626
Audio_healthy_motor50_base,healthy,motor_50,228026263.36404005,79654286.96665993,87497194.83927543,61132034.940999374,26485334.818884425,61284697.41665762,226106591.43285868,297693653.4655482,292257501.0734023,236977024.0319844,243148985.00579834,161181794.2139142,209656916.0552229,123322590.46928103,106417470.02720186,79193984.67976928,56019054.449291654,100475623.25259867,58691638.29518377,56994978.9862558
Audio_healthy_motor50_base,healthy,motor_50,143614830.06795108,53762193.0422161,30229354.31466396,52627784.140130185,14686780.481075417,45204752.62817599,90232790.78002998,175953293.41824538,243135425.82878602,158176078.52107742,175286577.61433142,128856082.93669279,78261497.35910378,116201275.10881217,94295847.0509894,97641113.62486129,56624656.94928266,60441336.03660415,75953686.52416337,61144651.07451075
Audio_healthy_motor50_base,healthy,motor_50,115204369.08565828,58847902.82174231,36096787.43558272,30625221.059865866,57971709.664105594,71192011.57266027,244223666.3671336,383029800.0890968,263874995.44984874,270237347.7556511,124682194.33688453,90110459.99552731,110672093.23278148,79531997.37849973,62118394.481067315,58307767.226655,41938200.65345379,47389852.580944836,46413698.028867975,44185243.03575029
Audio_healthy_motor50_base,healthy,motor_50,90021968.13456663,27989619.018683273,17141183.65152106,24174591.405592054,15066783.12844469,32836792.262625735,73865027.53889549,141632872.29285955,121374713.47129408,135460461.71951273,76758711.2467022,71433043.00895636,54857139.34046543,38299256.582690656,42644614.96930931,25104708.994619142,20436731.191867165,19421291.302267663,23676987.72800444,33113395.798893888
Audio_healthy_motor50_base,healthy,motor_50,95280929.50353211,24774311.183101032,25594271.92839752,55975214.0505777,34065210.79452583,85479646.77204026,148878686.67739698,217016124.3276513,255303313.73068926,219537979.26970068,141602187.67351612,199756998.5039196,138733674.76961848,75884452.7726451,92358063.66247219,83088900.64507072,49327408.68492255,40104037.99604338,50215414.17049619,76000801.16130829
Audio_healthy_motor50_base,healthy,motor_50,66877433.763622604,22529229.521829233,13378270.757697975,10803382.93044731,12727578.973954856,25170045.375052646,35430000.71123053,46465269.243500836,128052847.43820369,83262291.66485411,50504426.40926844,38464293.065483525,30271269.15967118,35068653.15826164,21334228.733366463,17658395.10582864,17502025.700965017,15098221.088069739,15218710.857254086,26081726.40133431
Audio_healthy_motor50_base,healthy,motor_50,99722308.66788308,32677720.209801953,18220566.096210912,16240142.28561925,26271416.27284567,33083891.24293567,83577828.55279794,85766827.29120515,134861591.4316604,92203399.94397233,109313914.45808417,63450773.573022105,66867132.86697842,38949005.27999743,31550106.830866635,44074290.73104989,23744341.16982112,35033645.0301688,23328462.673787538,38010293.756866574
Audio_healthy_motor50_base,healthy,motor_50,116069907.29870766,43253995.20142834,47457999.03373754,45172592.13794987,48951534.55556413,80989100.07622743,207041925.32671836,263935417.99396467,410941727.8193416,309871320.88699704,290162652.5979954,352138768.9969888,303196470.62668025,110593734.34602095,140319828.00136277,122805013.19390498,67473160.48923425,51866551.437885866,72401608.07277183,61745214.487965055
Audio_healthy_motor50_base,healthy,motor_50,319653557.8920245,150171959.66702408,61872936.58930801,84506936.20646939,72613420.35419792,102345703.88378172,232511328.07265785,365214132.0000782,365840270.6424471,334871062.54902637,375617489.43164086,406570519.4727348,268650147.0746559,176776210.29220048,153282415.9485455,185330733.118382,148465598.95108187,116448090.82064998,99050426.17015336,145536953.1857535
Audio_healthy_motor50_base,healthy,motor_50,221754242.38967553,65681929.9485468,50640982.785839096,44050493.01847563,33538798.168639712,34977000.76314062,94127842.05886589,119618376.51098005,161618542.92255455,189790672.0881383,153212995.0920034,84033143.78003533,135508016.87778005,117187597.80123508,102327346.72612329,63964766.08858016,54020905.331982255,60280601.24577965,30062497.87018316,44922874.99102518
Audio_healthy_motor50_base,healthy,motor_50,82103615.48248197,52090817.35775938,19392713.07529018,19942254.50574063,20532154.581112545,22175839.863406323,51391915.98512396,80181853.18513083,91484466.34406316,73891407.94105804,70348186.56650953,44301055.1715901,44689039.04405406,39849014.48072004,30028521.309026953,27825928.878989454,21125738.635527343,26065199.80918933,25214638.991232734,22424339.006738514
Audio_healthy_motor50_base,healthy,motor_50,138591084.3722583,48478916.30309854,23330985.70699313,15299948.91818885,21539726.50815238,40249500.423362784,81700176.13580364,78880559.04989232,99075346.00739878,159523240.9703101,137669892.25214592,131270079.50293633,122330228.29646376,60669483.869431645,56250209.43882054,33122876.01102258,22985569.034510557,18127941.415392883,21729469.12484879,21722403.610767074
Audio_healthy_motor50_base,healthy,motor_50,546745347.4453679,134686565.883081,153008247.01265004,176289503.56360993,118182925.816329,154610141.49371344,324385711.31084186,439854477.91048783,410808828.9590651,888746797.3132252,2272082665.644615,1357900255.5278249,963928998.6501355,996324339.534809,537032426.2411346,272284927.71998554,254726754.53212103,296738011.1297234,252023235.56787437,251560785.61213747
Audio_healthy_motor50_base,healthy,motor_50,1073872494.8695219,507740674.18586934,257017159.2038896,392178346.7942094,505156337.8380767,654034657.8616223,755641666.0106614,1613028515.3582046,1475916103.264664,1870680414.7931387,3543640601.1111956,4013133012.9590325,2081587157.26334,1601731917.3134234,1410234368.2475357,686698093.5628424,500378739.99848473,836382970.1310525,668221800.6941013,861387810.0869111
Audio_healthy_motor50_base,healthy,motor_50,505738131.7812717,216080362.59529984,186773581.4447473,131790425.35246335,219364525.63990104,230569060.59347573,637817088.1709859,1104313351.9094272,1127434565.7806754,798701641.1634958,1020215086.891038,919667054.5439355,650575510.5872369,566673047.7892317,566476194.4239389,483706233.137599,317025467.41841656,233849336.7951521,216371389.21898803,285063390.3264494
Audio_healthy_motor50_base,healthy,motor_50,192027600.97147346,72843008.72408998,81316986.01965205,64584403.03038112,56013221.658277355,85450001.07574612,166620343.77997202,310514417.05856013,398136157.7264754,269239212.46770734,270916148.7123322,150555250.8714488,96189569.55300467,106929379.77377483,83245061.51235883,52041960.665658996,60428428.51804647,56494520.95206418,47421219.69510249,57169408.23833435
