group_id,label,severity,piezo_ch1_band00,piezo_ch1_band01,piezo_ch1_band02,piezo_ch1_band03,piezo_ch1_band04,piezo_ch1_band05,piezo_ch1_band06,piezo_ch1_band07,piezo_ch1_band08,piezo_ch1_band09,piezo_ch1_band10,piezo_ch1_band11,piezo_ch1_band12,piezo_ch1_band13,piezo_ch1_band14,piezo_ch1_band15,piezo_ch1_band16,piezo_ch1_band17,piezo_ch1_band18,piezo_ch1_band19,piezo_ch2_band00,piezo_ch2_band01,piezo_ch2_band02,piezo_ch2_band03,piezo_ch2_band04,piezo_ch2_band05,piezo_ch2_band06,piezo_ch2_band07,piezo_ch2_band08,piezo_ch2_band09,piezo_ch2_band10,piezo_ch2_band11,piezo_ch2_band12,piezo_ch2_band13,piezo_ch2_band14,piezo_ch2_band15,piezo_ch2_band16,piezo_ch2_band17,piezo_ch2_band18,piezo_ch2_band19,piezo_ch3_band00,piezo_ch3_band01,piezo_ch3_band02,piezo_ch3_band03,piezo_ch3_band04,piezo_ch3_band05,piezo_ch3_band06,piezo_ch3_band07,piezo_ch3_band08,piezo_ch3_band09,piezo_ch3_band10,piezo_ch3_band11,piezo_ch3_band12,piezo_ch3_band13,piezo_ch3_band14,piezo_ch3_band15,piezo_ch3_band16,piezo_ch3_band17,piezo_ch3_band18,piezo_ch3_band19
Piezo_healthy_motor50_base,healthy,motor_50,141908438.9,321706319.1,1301063581,68065316.9,190001182.5,802943435,137445558.6,103032842.3,1032852368,132969310.6,254198846.1,12174667869,178210622.8,240568644.3,1493077898,191417336.3,201085138.5,715690661.2,359772976.9,267316725.4,93028641.43,402784515.3,2302524372,120215159.4,126186286.3,632927419.6,66774090.28,112752158.9,465732095,95367976.6,223134395.7,5771268568,132784753.8,74524306.65,534439850,58641456.48,85748968.27,331548481.7,93084766.38,159655193.3,4787757202,41104987889,3.08826E+11,4405430307,7454403425,75393192089,3914538080,7506978000,56816816994,3782606916,17540842811,7.17435E+11,10104370411,5694324317,59209483698,2623036849,3463197243,30280189773,5921604799,7565076666
Piezo_healthy_motor50_base,healthy,motor_50,65039142.13,56798211.81,72234774.69,79668592.25,43323286.51,77507609.18,64093649.84,79717998.49,69557722.76,71994053.8,53901745.75,167930035.9,87141755.05,43234782.32,84149813.87,97701155.32,81888461.1,56704768,97601262.41,74857492.6,1427589355,938123445.8,1923415163,548701920.9,443279987.7,5194419945,2392582452,832089921.8,791393996.1,1348377581,343125670.5,706350015.3,4501013463,732196318.7,543311776.8,1701408612,525879069,437352070.1,3071568006,614188946.8,20350997710,17852139682,18138257048,38987269010,12566813920,12851984602,15263947946,26179981105,15267082187,12936064032,11743231017,40839304905,18392126748,17146212574,20392663468,28684458343,34997161781,21802717187,13450129332,31162137832
Piezo_healthy_motor50_base,healthy,motor_50,53839760.18,49390162.68,69419654.31,50688141.41,46745352.77,66576722.94,41809871.24,55528011.38,64086365.79,50818659.67,36186741.06,169998756.9,72326174.73,52868781.17,44047344.5,69354854.41,51279603.83,34055305.86,51023385.65,112359606,1923727250,638490320.3,1422372001,429120049.9,474848853.3,3890271855,1197011645,806498470.9,749122990.7,788823369.2,416338761.7,540633789.7,3650985603,407534090.9,587629234.9,1071761191,419601439.4,417389641,2542607348,754360713.1,16177269441,13443677533,27151728621,31345520841,14298502559,13265482620,19490532538,19055736888,19866301006,13426019035,14459223367,31883421087,27450031086,13626766179,16318947945,21573773616,28979270974,20268676657,11712277436,43272668407
Piezo_healthy_motor100_base,healthy,motor_100,324976264.8,209896188.4,210923051.6,248263635.7,244499618.3,180823455.8,252766364.4,422181557.2,914095065.5,1821493994,2455237552,314086930.1,336911480.9,404346046,486417680.9,543854956.2,165878735.5,137767795.1,208186638.2,85953257.83,3112774120,1746894144,1563244607,714713306.3,861882535.7,5345301508,3702420683,673145920.8,1130454498,1470604076,1361184598,952378903.2,4570140534,1214949037,732845063.1,727039141.7,633263373,935700099.7,4329945481,1122544574,76725280609,39271675695,53585498837,54019588275,49081310240,30086114420,34914876126,46587655728,65832315499,94410169532,1.29175E+11,44440830347,55598485391,41918160418,51105840602,51740745061,42755409582,44324060478,1.00362E+11,41427719038
Piezo_healthy_motor100_base,healthy,motor_100,374145151,164774943.9,245857793.6,182474758,295291121.9,253117828.3,247654339.7,363357286,687059065.5,1870170859,2968470885,437442825.9,234599369.5,278180353.5,433798918.8,444862752.9,146470837.5,107303856.2,277062171.3,83931515.67,3551292171,1812933858,1410984045,946505867.8,1463512428,6283208674,2837624603,1048897376,1433913736,1401961727,2165630425,1361432952,4799046070,1093512647,1028414664,932354720.8,520575853.7,977823554,4059195564,1283046157,75797032960,48209275103,46396272515,52028829389,58271181651,38603206804,32104156872,47085189874,67192773472,1.086E+11,1.59202E+11,60239199695,38191165789,42339581259,61471160112,50929627922,31105135452,45759111047,1.21343E+11,45744028950
Piezo_healthy_motor100_base,healthy,motor_100,4829835569,7079504934,1558239212,3609407573,4038350048,1642961115,2951362567,4010622434,2113903348,4526681456,3029177014,2693074172,1366204405,1608569529,1467653328,2645780950,1118745829,748636731.2,1352545118,775396012.9,2680905174,1368180598,920583359.5,875807464.1,1454386560,4210376836,3797042064,999572267.1,1300408878,1887112031,794638563.3,1468873055,3734707875,1192732185,772405989.1,774417116.6,722460464.2,810269084.8,3864025793,1255167438,76054481338,40100039273,42964143707,45143129450,71166883677,43203517174,58387152479,34499152815,78144418863,1.66639E+11,72503936605,40052330446,56314123301,62099852216,50673510549,58694286199,35768917664,54028469262,1.65504E+11,59315672910
Piezo_cavitation_motor50_base,cavitation,motor_50,39816749.68,104809826.4,95802608.76,51144574.63,49983522.05,300798488,107144321,44214301.71,34766973.11,42956608.34,37609222.22,55731923.6,92711630.11,27898616.17,48638627.23,61841786.77,51059338.08,82106152.17,52597889.5,49527692.35,172068789.6,305089199.8,458172643.4,218162147.3,214158526.6,815241095.9,275335028.2,127816289.5,129136774.2,93628487.22,165926039.4,247968083,674734967.4,151197514.6,249407376.3,259959547,217144147.9,361112329.8,183546670.8,223467659.7,19843553130,36041530694,58293421447,20463288689,13903628694,46723469185,20747185343,11805195688,14021511747,39482445675,12709056950,17411890275,56358702395,12391143475,20345564553,21935714303,17632082347,25198650086,17183638957,16461313409
Piezo_cavitation_motor50_base,cavitation,motor_50,72032946.15,85023630.16,204729057.7,92227633.9,79186604.65,201476069.9,71749834.86,47077479.8,73968247.81,153061967.2,58566712.56,38160158.76,65697232.83,69071601.78,82511354.79,91356244.51,47800051.5,64466995.8,96834971.97,61245300.98,1803415873,772276159.4,958013410.1,654743669.3,540881557.8,6686082253,1261236029,717379801.3,522973959.2,996757798.8,391042888.9,828824153.7,5269724350,503102956.9,576748225.1,470677046.2,457235350.7,465826145,4183916905,675185841.6,30510305099,31325622993,37393344914,26540019288,28520263704,59793140800,25080161695,11498037762,25337129679,59891198079,26915425756,26986780220,36536262484,32454849844,30907352513,26967964723,16213395679,27535520389,34827755584,26546410388
Piezo_cavitation_motor50_base,cavitation,motor_50,91448199.19,63660621.51,160624089.3,126179175,68956261.5,241788003.9,66602471.96,44156356.66,71153921.31,83080411.42,45515142.52,61612081.83,69472850.41,69196248.51,128284728.3,77810041.77,87423344.11,46745412.23,67143881.1,82060362.43,2543332491,1053243220,1165546653,746971035.5,861750127.1,4284830599,1797844187,923067165.9,618859751.1,815506230.8,416203997.4,684571009.2,3794251616,597333539.4,854676303.7,808122233.3,572029622.2,690498744.2,3142583381,864538760.1,43419910651,23825365646,32812159075,30006304000,16997751128,52948112919,21126662436,15454170472,20816937614,51762107633,17779002197,29693344774,32337223174,24858880730,43861289080,29309724520,24772332199,20511266150,35862360498,40978483254
Piezo_cavitation_motor50_base,cavitation,motor_50,81884061.91,62094311.15,175881169.6,102519804.1,107262357.5,166826187.6,104193563.1,60024182.04,97270935.97,78426831.85,62862949.03,71480138.92,62164973.3,90515033.17,82972220.89,82204054.84,77069061.33,47863196.77,99078690.66,68138211.83,1835645518,1657390960,943160616.7,634848538.3,997374822.6,4211928088,3332558028,621488267.2,898668022,529002673.3,686680167.5,593313969.1,4200005580,891338256,567290194.6,699788039,478108814.8,541701519.4,3490968240,825722696.7,31863668082,29394061220,27626399241,26204878864,35319108303,31046700901,31898941555,20112416252,31287078249,31600714027,35222862111,25610116428,28055243701,29355669863,32059791934,21480384557,33582141393,16776356032,37563924801,24967145077
