Timestamp,A0_Raw,A1_Raw,A2_Raw,Motor_State
2026-08-23 07:18:14.464590,6616,3724,3108,1
2026-08-23 07:18:14.464610,6699,4183,3363,1
2026-08-23 07:18:14.464630,6697,4562,3359,1
2026-08-23 07:18:14.464650,6702,4798,3367,1
2026-08-23 07:18:14.464670,6697,5015,3369,1
2026-08-23 07:18:14.464690,6707,5129,3433,1
2026-08-23 07:18:14.464710,6559,5177,2746,1
2026-08-23 07:18:14.464730,6679,5323,3727,1
2026-08-23 07:18:14.464750,6727,5376,3755,1
2026-08-23 07:18:14.464770,6731,5432,3760,1
2026-08-23 07:18:14.464790,6739,5455,3733,1
2026-08-23 07:18:14.464810,6726,5485,3698,1
2026-08-23 07:18:14.464830,6732,5469,3654,1
2026-08-23 07:18:14.464850,6722,5521,3598,1
2026-08-23 07:18:14.464870,6725,5493,3519,1
2026-08-23 07:18:14.464890,6706,5466,3397,1
2026-08-23 07:18:14.464910,6709,5515,3355,1
2026-08-23 07:18:14.464930,6694,5490,3432,1
2026-08-23 07:18:14.464950,6476,5098,0,1
2026-08-23 07:18:14.464970,6540,5386,3145,1
2026-08-23 07:18:14.464990,6664,5410,3002,1
2026-08-23 07:18:14.465010,6666,5453,2888,1
2026-08-23 07:18:14.465030,6637,5461,2890,1
2026-08-23 07:18:14.465050,6679,5541,3162,1
2026-08-23 07:18:14.465070,6562,5490,3217,1
2026-08-23 07:18:14.465090,6692,5447,3251,1
2026-08-23 07:18:14.465110,6689,5462,3105,1
2026-08-23 07:18:14.465130,6692,5481,3266,1
2026-08-23 07:18:14.465150,6547,5441,2678,1
2026-08-23 07:18:14.465170,6622,5482,2906,1
2026-08-23 07:18:14.465190,6635,5449,2730,1
2026-08-23 07:18:14.465210,6627,5460,2877,1
2026-08-23 07:18:14.465230,6499,5327,1138,1
2026-08-23 07:18:14.465250,6563,5499,3136,1
2026-08-23 07:18:14.465270,6674,5460,2970,1
2026-08-23 07:18:14.465290,6673,5537,3309,1
