Timestamp,A0_Raw,A1_Raw,A2_Raw,Motor_State
2026-08-23 05:40:12.243066,4964,4012,1374,0
2026-08-23 05:40:12.243086,5003,4135,1795,0
2026-08-23 05:40:12.243106,5015,4205,1936,0
2026-08-23 05:40:12.243126,4991,4241,1176,0
2026-08-23 05:40:12.243146,4984,4244,1361,0
2026-08-23 05:40:12.243166,5006,4357,1938,0
2026-08-23 05:40:12.243186,5031,4484,2033,0
2026-08-23 05:40:12.243206,5025,4519,1305,0
2026-08-23 05:40:12.243226,4977,4555,1203,0
2026-08-23 05:40:12.243246,4968,4644,1186,0
2026-08-23 05:40:12.243266,4998,4664,2206,0
2026-08-23 05:40:12.243286,5051,4677,1754,0
2026-08-23 05:40:12.243306,5008,4684,1337,0
2026-08-23 05:40:12.243326,5010,4690,2337,0
2026-08-23 05:40:12.264078,4992,3871,1747,0
2026-08-23 05:40:12.264098,5003,3962,1522,0
2026-08-23 05:40:12.264118,4989,4106,1583,0
2026-08-23 05:40:12.264138,5004,4232,1764,0
2026-08-23 05:40:12.264158,5018,4345,2033,0
2026-08-23 05:40:12.264179,5016,4402,1084,0
2026-08-23 05:40:12.264199,4969,4549,1555,0
2026-08-23 05:40:12.264219,4993,4560,1487,0
2026-08-23 05:40:12.264238,5004,4691,2317,0
2026-08-23 05:40:12.264258,5048,4632,1701,0
2026-08-23 05:40:12.264278,5009,4651,1362,0
2026-08-23 05:40:12.264298,4977,4642,1429,0
2026-08-23 05:40:12.264318,4998,4573,1958,0
2026-08-23 05:40:12.285340,4942,3743,1115,0
2026-08-23 05:40:12.285360,4989,3958,1842,0
2026-08-23 05:40:12.285380,5018,4070,1946,0
2026-08-23 05:40:12.285400,4998,4208,1229,0
2026-08-23 05:40:12.285420,4973,4340,1172,0
2026-08-23 05:40:12.285440,4981,4481,1667,0
2026-08-23 05:40:12.285460,5020,4593,2058,0
2026-08-23 05:40:12.285480,5019,4642,1822,0
2026-08-23 05:40:12.285500,4982,4639,889,0
2026-08-23 05:40:12.285520,4937,4647,1378,0
2026-08-23 05:40:12.285540,4981,4655,1596,0
2026-08-23 05:40:12.285560,4989,4535,1652,0
2026-08-23 05:40:12.285580,4983,4493,1405,0
2026-08-23 05:40:12.306177,4965,3693,1832,0
2026-08-23 05:40:12.306197,4992,3857,1097,0
2026-08-23 05:40:12.306217,4960,4107,1501,0
2026-08-23 05:40:12.306237,4994,4325,1744,0
2026-08-23 05:40:12.306257,5011,4479,2330,0
2026-08-23 05:40:12.306277,5015,4505,1388,0
2026-08-23 05:40:12.306297,4961,4529,1388,0
2026-08-23 05:40:12.306317,4977,4583,1391,0
2026-08-23 05:40:12.306337,4982,4651,1732,0
2026-08-23 05:40:12.306357,5019,4652,2109,0
2026-08-23 05:40:12.306377,5017,4548,1158,0
2026-08-23 05:40:12.306397,4962,4506,1465,0
2026-08-23 05:40:12.306417,4991,4492,2227,0
2026-08-23 05:40:12.324899,4946,3671,1071,0
2026-08-23 05:40:12.324919,4972,4013,1792,0
2026-08-23 05:40:12.324939,5013,4187,2159,0
2026-08-23 05:40:12.324960,5018,4336,1449,0
2026-08-23 05:40:12.324980,4969,4453,1102,0
2026-08-23 05:40:12.325000,4956,4525,1202,0
2026-08-23 05:40:12.325020,4989,4592,1991,0
2026-08-23 05:40:12.325039,5026,4575,1842,0
2026-08-23 05:40:12.325059,4955,4557,1365,0
2026-08-23 05:40:12.325079,4967,4529,1642,0
2026-08-23 05:40:12.325099,5012,4543,2011,0
2026-08-23 05:40:12.325119,4993,4403,1363,0
2026-08-23 05:40:12.345944,4958,3856,1791,0
2026-08-23 05:40:12.345964,5017,4042,2278,0
2026-08-23 05:40:12.345984,5037,4146,1302,0
2026-08-23 05:40:12.346004,4969,4324,1344,0
2026-08-23 05:40:12.346024,4961,4440,1415,0
2026-08-23 05:40:12.346044,4977,4542,1905,0
2026-08-23 05:40:12.346064,5014,4618,1921,0
2026-08-23 05:40:12.346084,4990,4625,1250,0
2026-08-23 05:40:12.346104,4957,4582,1409,0
2026-08-23 05:40:12.346124,4989,4675,2002,0
2026-08-23 05:40:12.346144,5022,4662,2059,0
2026-08-23 05:40:12.346164,5018,4517,1234,0
2026-08-23 05:40:12.346184,5018,4464,1421,0
2026-08-23 05:40:12.366800,4962,3694,1963,0
2026-08-23 05:40:12.366820,5004,3913,1175,0
2026-08-23 05:40:12.366840,4949,4153,1134,0
2026-08-23 05:40:12.366860,4971,4352,1814,0
2026-08-23 05:40:12.366880,5010,4448,1997,0
2026-08-23 05:40:12.366900,5019,4486,1629,0
2026-08-23 05:40:12.366920,4974,4621,1557,0
2026-08-23 05:40:12.366940,4982,4587,1522,0
2026-08-23 05:40:12.366960,4978,4645,1766,0
2026-08-23 05:40:12.366980,5005,4643,2023,0
2026-08-23 05:40:12.367000,4997,4545,1071,0
2026-08-23 05:40:12.367020,4953,4476,1682,0
2026-08-23 05:40:12.367040,4995,4414,1924,0
2026-08-23 05:40:12.387949,4946,3743,1407,0
2026-08-23 05:40:12.387969,4967,4021,1435,0
2026-08-23 05:40:12.387989,4998,4242,2290,0
2026-08-23 05:40:12.388009,5028,4386,1689,0
2026-08-23 05:40:12.388029,4977,4465,1352,0
2026-08-23 05:40:12.388049,4966,4513,1293,0
2026-08-23 05:40:12.388069,4984,4588,1834,0
2026-08-23 05:40:12.388089,5012,4586,1901,0
2026-08-23 05:40:12.388109,4996,4583,1221,0
2026-08-23 05:40:12.388129,4948,4522,1167,0
2026-08-23 05:40:12.388149,4969,4468,1663,0
2026-08-23 05:40:12.388169,4988,4451,2145,0
2026-08-23 05:40:12.388189,5000,4343,1509,0
2026-08-23 05:40:12.408946,4960,3844,1982,0
2026-08-23 05:40:12.408966,5004,4061,1578,0
2026-08-23 05:40:12.408986,4964,4283,913,0
2026-08-23 05:40:12.409006,4941,4392,1526,0
2026-08-23 05:40:12.409026,4998,4467,1820,0
2026-08-23 05:40:12.409046,4988,4538,1682,0
2026-08-23 05:40:12.409066,4984,4504,1124,0
2026-08-23 05:40:12.409086,4959,4526,1499,0
2026-08-23 05:40:12.409106,4984,4503,1776,0
2026-08-23 05:40:12.409126,5018,4475,2371,0
2026-08-23 05:40:12.409146,5024,4383,1386,0
2026-08-23 05:40:12.409166,4971,4369,1383,0
2026-08-23 05:40:12.409186,4977,4332,2072,0
2026-08-23 05:40:12.428453,4941,3875,1119,0
2026-08-23 05:40:12.428473,4952,4125,1393,0
2026-08-23 05:40:12.428493,4971,4274,1721,0
2026-08-23 05:40:12.428513,5003,4443,2142,0
2026-08-23 05:40:12.428533,4991,4519,1164,0
2026-08-23 05:40:12.428553,4949,4483,1325,0
2026-08-23 05:40:12.428573,4965,4504,1850,0
2026-08-23 05:40:12.428593,5015,4495,2205,0
2026-08-23 05:40:12.428613,5018,4435,1468,0
2026-08-23 05:40:12.428633,4961,4378,1077,0
2026-08-23 05:40:12.428653,4960,4364,1308,0
2026-08-23 05:40:12.428673,4962,4373,1986,0
2026-08-23 05:40:13.944962,4950,3890,1380,0
2026-08-23 05:40:13.944982,4976,4183,1638,0
2026-08-23 05:40:13.945002,5005,4347,2280,0
2026-08-23 05:40:13.945022,5012,4385,1255,0
2026-08-23 05:40:13.945042,4958,4501,1338,0
2026-08-23 05:40:13.945062,4982,4552,1798,0
