time_s,raw_adc
-0.0500,0
-0.0500,9
-0.0499,0
-0.0499,0
-0.0499,6
-0.0499,0
-0.0498,0
-0.0498,0
-0.0498,1
-0.0498,0
-0.0497,0
-0.0497,0
-0.0497,6
-0.0496,0
-0.0496,1
-0.0496,0
-0.0496,0
-0.0496,1
-0.0495,6
-0.0495,0
-0.0495,0
-0.0495,1
-0.0494,0
-0.0494,1
-0.0494,0
-0.0494,0
-0.0493,2
-0.0493,0
-0.0493,2
-0.0493,2
-0.0492,0
-0.0492,2
-0.0492,0
-0.0491,0
-0.0491,8
-0.0491,0
-0.0491,0
-0.0491,0
-0.0490,0
-0.0490,4
-0.0490,0
-0.0490,2
-0.0489,1
-0.0489,0
-0.0489,0
-0.0489,4
-0.0488,10
-0.0488,3
-0.0488,3
-0.0488,5
-0.0487,13
-0.0487,0
-0.0487,0
-0.0487,0
-0.0486,7
-0.0486,0
-0.0486,11
-0.0486,0
-0.0485,0
-0.0485,0
-0.0485,14
-0.0485,0
-0.0484,3
-0.0484,0
-0.0484,0
-0.0484,12
-0.0483,0
-0.0483,0
-0.0483,5
-0.0483,0
-0.0482,1
-0.0482,8
-0.0482,0
-0.0482,5
-0.0481,0
-0.0481,0
-0.0481,0
-0.0481,2
-0.0480,0
-0.0480,1
-0.0480,0
-0.0479,0
-0.0479,0
-0.0479,2
-0.0479,2
-0.0479,0
-0.0478,0
-0.0478,2
-0.0478,0
-0.0478,0
-0.0477,0
-0.0477,10
-0.0477,6
-0.0477,0
-0.0476,1
-0.0476,0
-0.0476,0
-0.0476,0
-0.0475,5
-0.0475,16
-0.0475,0
-0.0474,1
-0.0474,0
-0.0474,0
-0.0474,0
-0.0474,0
-0.0473,0
-0.0473,2
-0.0473,6
-0.0473,12
-0.0472,6
-0.0472,4
-0.0472,0
-0.0472,0
-0.0471,0
-0.0471,0
-0.0471,0
-0.0471,0
-0.0470,0
-0.0470,2
-0.0470,0
-0.0470,0
-0.0469,0
-0.0469,0
-0.0469,0
-0.0469,0
-0.0468,1
-0.0468,0
-0.0468,0
-0.0467,3
-0.0467,0
-0.0467,0
-0.0467,0
-0.0467,0
-0.0466,7
-0.0466,0
-0.0466,0
-0.0466,0
-0.0465,0
-0.0465,4
-0.0465,0
-0.0465,2
-0.0464,0
-0.0464,0
-0.0464,0
-0.0464,8
-0.0463,4
-0.0463,0
-0.0463,0
-0.0462,10
-0.0462,0
-0.0462,7
-0.0462,4
-0.0462,0
-0.0461,0
-0.0461,9
-0.0461,3
-0.0461,0
-0.0460,5
-0.0460,0
-0.0460,4
-0.0460,8
-0.0459,5
-0.0459,5
-0.0459,3
-0.0459,0
-0.0458,1
-0.0458,0
-0.0458,0
-0.0457,0
-0.0457,1
-0.0457,0
-0.0457,0
-0.0457,7
-0.0456,0
-0.0456,24
-0.0456,0
-0.0456,0
-0.0455,11
-0.0455,1
-0.0455,5
-0.0455,8
-0.0454,0
-0.0454,10
-0.0454,4
-0.0454,4
-0.0453,0
-0.0453,3
-0.0453,0
-0.0453,0
-0.0452,0
-0.0452,11
-0.0452,0
-0.0452,0
-0.0451,4
-0.0451,5
-0.0451,0
-0.0450,0
-0.0450,0
-0.0450,0
-0.0450,1
-0.0450,0
-0.0449,10
-0.0449,0
-0.0449,0
-0.0449,0
-0.0448,0
-0.0448,9
-0.0448,0
-0.0448,0
-0.0447,1
-0.0447,0
-0.0447,0
-0.0447,1
-0.0446,0
-0.0446,4
-0.0446,6
-0.0445,0
-0.0445,0
-0.0445,0
-0.0445,11
-0.0445,8
-0.0444,5
-0.0444,12
-0.0444,6
-0.0444,0
-0.0443,0
-0.0443,0
